question_number,audience,confidence,consistency,question,answer
1,GP,⬤⬤⬤,███,"What is a QALY and why does it matter for health policy?",
2,GP,⬘⬘⬘,███,"Why can't we just use regular QALYs if people live longer?",
3,GP,⬘⬘⬘,██░,"What does ""unbounded lifespan"" actually mean—will people live forever?",
4,GP,⬘⬘◯,██░,"Is this paper saying death will become optional?",
5,GP,⬘⬘⬘,███,"What's wrong with how we currently evaluate health treatments?",
6,GP,⬘⬘⬘,███,"Why does the paper talk about ""maintenance"" and ""repair""—are we treating people like machines?",
7,GP,⬘⬘⬘,███,"What is the difference between lifespan and healthspan?",
8,GP,⬘⬘◯,█░░,"If I could live indefinitely, would I want to? Is this paper assuming I would?",
9,GP,⬘⬘⬘,███,"What does ""catastrophic failure"" mean in this context?",
10,GP,⬘⬘◯,██░,"Why is this a problem that needs solving now?",
11,MD,⬘◯◯,█░░,"What scientific advances would need to happen for this framework to become relevant?",
12,PM,⬘⬘◯,██░,"How does this framework apply to current health policy, or is it purely futuristic?",
13,MD,⬘◯◯,█░░,"What is the timeline for when unbounded lifespans might become a reality?",
14,MD,⬘⬘⬘,███,"Does this framework assume all diseases will be curable?",
15,MD,⬘⬘⬘,███,"How does the paper define ""repairable"" vs. ""irreversible"" conditions?",
16,MD,⬘⬘⬘,██░,"What counts as a ""catastrophic failure"" vs. a ""repairable degradation""?",
17,MD,⬘⬘◯,██░,"Are there any current conditions that would be classified as ""irreversible harm states""?",
18,MD,⬘⬘◯,██░,"Does the model account for aging as a disease vs. aging as a natural process?",
19,GP,⬘◯◯,█░░,"How does this relate to cryonics or other life extension technologies?",
20,PH,⬘⬘⬘,███,"Does the paper assume people will want to live indefinitely?",
21,PM,⬘⬘⬘,███,"Why is it important that policy evaluation be ""finite""?",
22,HE,⬘⬘⬘,███,"What does ""stable marginal comparisons"" mean in practice?",
23,HE,⬘⬘⬘,███,"Could you give an example of a policy evaluation that would fail the well-posedness axiom?",
24,HE,⬘⬘⬘,███,"How does this axiom differ from standard assumptions in cost-effectiveness analysis?",
25,MA,⬘⬘⬘,███,"Is well-posedness a mathematical requirement or a practical one?",
26,PM,⬘⬘⬘,███,"Why should a health policy not depend on a ""terminal time""?",
27,PM,⬘⬘◯,██░,"Doesn't all budgeting have to assume some time horizon?",
28,HE,⬘⬘⬘,███,"How do current health policies violate horizon invariance?",
29,PM,⬘⬘⬘,███,"If we don't have a fixed endpoint, how do we ever make decisions?",
30,PM,⬘⬘◯,██░,"Is horizon invariance compatible with democratic political cycles?",
31,GP,⬘⬘⬘,███,"What does it mean that health value ""accrues"" rather than exists at a point in time?",
32,MD,⬘⬘⬘,██░,"Why focus on experienced quality rather than objective health status?",
33,HE,⬘⬘⬘,███,"How do we measure ""instantaneous quality of life""?",
34,PH,⬘⬘◯,██░,"Doesn't this ignore the fact that some experiences have lasting effects?",
35,PH,⬘⬘◯,██░,"What about anticipation and memory—don't they affect welfare too?",
36,PH,⬘⬘◯,██░,"Is this axiom committed to hedonism about well-being?",
37,HE,⬘⬘⬘,███,"How does this relate to the EQ-5D and other quality measurement tools?",
38,PH,⬘⬘⬘,██░,"Why shouldn't death have its own ""disvalue"" separate from ending future welfare?",
39,PH,⬘⬘◯,██░,"Doesn't this ignore the badness of death itself (not just loss of future goods)?",
40,PH,⬘⬘◯,██░,"How does this axiom relate to the ""deprivation account"" of death's badness?",
41,PH,⬘⬘⬘,███,"Is this saying death is only bad because you miss out on future experiences?",
42,PH,⬘⬘⬘,███,"What if someone has a very low quality of life—does their death still ""truncate"" welfare?",
43,MD,⬘⬘◯,██░,"Does this framework respect autonomy around end-of-life decisions?",
44,MD,⬘◯◯,█░░,"How would this apply to physician-assisted dying?",
45,PH,⬘⬘⬘,███,"Why is it important to make ethical assumptions ""explicit""?",
46,HE,⬘⬘⬘,███,"What does it mean that time preference is ""hidden inside technical devices""?",
47,HE,⬘⬘⬘,███,"Isn't the choice of discount rate already debated explicitly?",
48,HE,⬘⬘◯,██░,"How do current NICE guidelines violate this axiom?",
49,PH,⬘⬘◯,██░,"What other normative commitments are typically hidden in health economics?",
50,PM,⬘◯◯,█░░,"Does making assumptions explicit actually change policy outcomes?",
51,PM,⬘⬘⬘,███,"What does ""welfare per unit of population time"" mean concretely?",
52,HE,⬘⬘⬘,███,"How is this different from maximizing total QALYs?",
53,PM,⬘⬘⬘,███,"Why should governments think in terms of person-time rather than individuals?",
54,PH,⬘⬘⬘,██░,"Doesn't this ignore the separateness of persons?",
55,PH,⬘⬘⬘,██░,"Is this axiom utilitarian?",
56,MD,⬘⬘◯,██░,"How does this axiom relate to public health surveillance data?",
57,PH,⬘⬘⬘,███,"What does it mean to treat one person's quality-time as ""substitutable"" for another's?",
58,PH,⬘⬘◯,█░░,"Is it ethical to trade off one person's health for another's?",
59,PH,⬘⬘⬘,███,"How does the paper justify interpersonal welfare comparisons?",
60,PH,⬘⬘⬘,██░,"Does the paper claim QALYs are really comparable across people?",
61,MA,⬘⬘⬘,███,"What is ""trajectory convergence over long horizons"" and why does it help?",
62,PH,⬘⬘◯,██░,"Doesn't everyone's experience remain unique even if lifespans are long?",
63,PH,⬘◯◯,█░░,"How does this relate to the capabilities approach to welfare?",
64,PH,⬘⬘⬘,███,"Is this framework compatible with prioritarianism?",
65,PH,⬘⬘◯,██░,"Can the framework accommodate special obligations (to family, etc.)?",
66,GP,⬘⬘⬘,███,"What is a ""controlled continuous-time Markov chain""?",
67,MA,⬘⬘⬘,███,"Why use continuous time rather than discrete time steps?",
68,MD,⬘⬘◯,██░,"What are the states in a realistic health state space?",
69,HE,⬘◯◯,█░░,"How many states would a realistic model need?",
70,MA,⬘⬘⬘,███,"Can the state space be infinite?",
71,MA,⬘⬘⬘,██░,"What is a ""rate kernel"" and how is it estimated?",
72,MA,⬘⬘◯,██░,"How do transition rates vary with age in this model?",
73,MA,⬘⬘⬘,███,"Does the model allow for time-varying transition rates?",
74,MA,⬘⬘⬘,███,"What is ""non-explosiveness"" and why does it matter?",
75,MA,⬘⬘⬘,███,"What are Foster-Lyapunov criteria and when do they apply?",
76,MD,⬘⬘⬘,███,"Can the model handle correlated health states (comorbidities)?",
77,HE,⬘⬘◯,██░,"How does one estimate transition probabilities from epidemiological data?",
78,HE,⬘⬘⬘,███,"What counts as an ""action"" in this framework?",
79,PM,⬘⬘⬘,██░,"Can actions include social determinants of health (housing, income)?",
80,MA,⬘⬘⬘,███,"What is a ""stationary Markov policy""?",
81,HE,⬘⬘⬘,███,"Why restrict to stationary policies—aren't some policies naturally time-varying?",
82,HE,⬘◯◯,█░░,"How does the model handle multi-agent decisions (patient + doctor + insurer)?",
83,MD,⬘⬘⬘,███,"Can the framework model preventive vs. curative interventions differently?",
84,MA,⬘⬘⬘,██░,"What if the action space is continuous (e.g., drug dosage)?",
85,GP,⬘⬘⬘,███,"Why does the model assume ""immediate replacement"" after death?",
86,PH,⬘⬘⬘,███,"Is this saying one person's death doesn't matter because someone else comes along?",
87,MA,⬘⬘⬘,███,"How realistic is the i.i.d. assumption for new entrants?",
88,HE,⬘⬘◯,██░,"What if the initial health distribution changes over time (demographic shifts)?",
89,HE,⬘⬘◯,██░,"How does this relate to overlapping generations models in economics?",
90,PM,⬘⬘◯,██░,"What if birth rates decline—does the framework still apply?",
91,PM,⬘⬘◯,██░,"How does immigration affect the regeneration assumption?",
92,MA,⬘⬘⬘,███,"Is this assumption necessary or just convenient?",
93,MA,⬘⬘◯,██░,"What happens if we relax the independence assumption?",
94,HE,⬘⬘⬘,███,"What exactly is ""QALY flow""—is it a rate or a ratio?",
95,PM,⬘⬘⬘,███,"How do you interpret J(π) = 0.7 in practical terms?",
96,MA,⬘⬘⬘,███,"Why is J(π) always between 0 and 1?",
97,PM,⬘⬘⬘,███,"What does K(π) (cost flow) represent in budget terms?",
98,HE,⬘⬘◯,██░,"How do you convert QALY flow to a monetary value?",
99,PM,⬘◯◯,█░░,"Is there a ""threshold"" for acceptable QALY flow like the £30,000/QALY threshold?",
100,HE,⬘⬘⬘,███,"How does QALY flow compare to quality-adjusted life expectancy?",
101,MA,⬘⬘⬘,███,"What is renewal-reward theory and where does it come from?",
102,GP,⬘⬘⬘,███,"Can you explain the theorem in plain language?",
103,MA,⬘⬘⬘,███,"What conditions are needed for the theorem to hold?",
104,MA,⬘⬘⬘,███,"What happens if the expected cycle length is infinite?",
105,MA,⬘⬘⬘,███,"Does the theorem require ergodicity?",
106,MA,⬘⬘◯,██░,"How quickly does Q(T)/T converge to J(π)?",
107,HE,⬘⬘◯,██░,"What is the rate of convergence and does it matter for policy?",
108,MA,⬘⬘⬘,███,"Can you prove the theorem?",
109,HE,⬘⬘⬘,███,"Why do we need the truncated flow definition?",
110,MA,⬘⬘⬘,███,"What does J⁺(π) ≠ J⁻(π) mean intuitively?",
111,MA,⬘⬘⬘,███,"Under what conditions do the limsup and liminf agree?",
112,MA,⬘⬘◯,██░,"Is there a policy where J⁺ ≠ J⁻? Can you give an example?",
113,HE,⬘⬘⬘,███,"How does truncation relate to discounting?",
114,HE,⬘⬘⬘,███,"Is truncated flow the same as using a very low discount rate?",
115,GP,⬘⬘⬘,███,"What does ""risk neutral"" mean in this context?",
116,HE,⬘⬘⬘,███,"Why is the base framework risk neutral?",
117,PH,⬘⬘◯,██░,"Shouldn't health policy be risk averse?",
118,MA,⬘⬘⬘,███,"How do you add risk aversion to the framework?",
119,MA,⬘⬘⬘,███,"What is the mean-variance objective and when is it appropriate?",
120,MA,⬘⬘⬘,███,"What is CVaR and why use it instead of variance?",
121,PM,⬘◯◯,█░░,"How do you choose the risk aversion parameter λ or α?",
122,PM,⬘⬘◯,██░,"Is risk neutrality ever the right choice for health policy?",
123,HE,⬘⬘⬘,███,"Why treat irreversibility separately from quality?",
124,HE,⬘⬘⬘,███,"What is ""option value loss"" and why does it matter?",
125,PH,⬘⬘◯,█░░,"Should irreversibility be a penalty or a constraint?",
126,HE,⬘◯◯,█░░,"How do you set the irreversibility penalty κ(x)?",
127,MD,⬘⬘◯,██░,"What if we disagree about which states are irreversible?",
128,PH,⬘◯◯,█░░,"How does irreversibility relate to disability rights arguments?",
129,PH,⬘⬘◯,██░,"Doesn't treating irreversibility as a penalty devalue disabled lives?",
130,GP,⬘⬘⬘,███,"Why does volatility matter if the average is the same?",
131,MD,⬘⬘◯,██░,"What causes cycle-to-cycle volatility in quality?",
132,MD,⬘⬘◯,██░,"Is Assumption 5 (minimum cycle length) realistic?",
133,HE,⬘⬘◯,██░,"How do you estimate variance of q̄^π from data?",
134,PH,⬘◯◯,█░░,"What if people prefer some volatility (e.g., for hope)?",
135,MA,⬘⬘⬘,███,"Does an optimal policy always exist?",
136,MA,⬘⬘⬘,███,"What if there are infinitely many policies?",
137,MA,⬘⬘⬘,███,"Why is the finite-state case easier?",
138,MA,⬘⬘⬘,██░,"What computational methods can find optimal policies?",
139,MA,⬘⬘⬘,███,"How does linear-fractional programming work for this problem?",
140,MA,⬘⬘⬘,███,"What is average-reward dynamic programming?",
141,MA,⬘⬘◯,██░,"Can reinforcement learning methods be applied?",
142,MA,⬘⬘◯,██░,"How does the optimization scale with state space size?",
143,MA,⬘⬘◯,██░,"Are there approximate methods for large state spaces?",
144,PM,⬘⬘⬘,███,"How do you compare two policies when one is better on J and worse on K?",
145,PM,⬘⬘⬘,██░,"What is the willingness-to-pay parameter λ and how is it set?",
146,HE,⬘⬘⬘,██░,"Is W_λ(f) = J(f) - λK(f) the only way to combine quality and cost?",
147,MA,⬘⬘⬘,███,"What if costs are uncertain—does the framework handle stochastic costs?",
148,GP,⬘⬘⬘,███,"What does ""Lipschitz stability"" mean in plain language?",
149,PM,⬘⬘⬘,███,"Why is stability important for policy decisions?",
150,HE,⬘⬘⬘,███,"What could cause instability in the QALY flow metric?",
151,HE,⬘⬘◯,██░,"How do you verify Assumptions 4 and 5 (uniform bounds, Lipschitz) in practice?",
152,MA,⬘⬘⬘,███,"Can you prove Theorem 3 (Lipschitz stability)?",
153,MA,⬘⬘⬘,██░,"What is the Lipschitz constant (L_R + L_τ)/m and is it tight?",
154,MA,⬘⬘⬘,███,"What happens when the lower bound m approaches zero?",
155,HE,⬘⬘◯,██░,"How does this compare to sensitivity analysis in traditional CEA?",
